uid	abstract	title	journal	class
31969690	Neonatal mammalian heart maintains a transient regeneration capacity after birth, whereas this regeneration ability gradually loses in the postnatal heart. Thus, the reactivation of cardiomyocyte proliferation is emerging as a key strategy for inducing heart regeneration in adults. We have reported that a highly conserved long noncoding RNA (lncRNA) LncDACH1 was overexpressed in the failing hearts. Here, we found that LncDACH1 was gradually upregulated in the postnatal hearts. Cardiac-specific overexpression of LncDACH1 (TG) in mice suppressed neonatal heart regeneration and worsened cardiac function after apical resection. Conversely, in vivo cardiac conditional knockout of LncDACH1 (CKO) and adenovirus-mediated silencing of endogenous LncDACH1 reactivated cardiomyocyte-proliferative potential and promoted heart regeneration after myocardial infarction (MI) in juvenile and adult mice. Mechanistically, LncDACH1 was found to directly bind to protein phosphatase 1 catalytic subunit alpha (PP1A), and in turn, limit its dephosphorylation activity. Consistently, PP1A siRNA or pharmacological blockers of PP1A abrogated cardiomyocyte mitosis induced by LncDACH1 silencing. Furthermore, LncDACH1 enhanced yes-associated protein 1 (YAP1) phosphorylation and reduced its nuclear translocation by binding PP1A. Verteporfin, a YAP1 inhibitor decreased LncDACH1 silencing-induced cardiomyocyte proliferation. In addition, targeting a conserved fragment of LncDACH1 caused cell cycle re-entry of human iPSC-derived cardiomyocytes. Collectively, LncDACH1 governs heart regeneration in postnatal and ischemic hearts via regulating PP1A/YAP1 signal, which confers a novel therapeutic strategy for ischemic heart diseases.	Targeting LncDACH1 promotes cardiac repair and regeneration after myocardium infarction.	Cell death and differentiation	0
31959915	The identification of viability-associated long noncoding RNAs (lncRNAs) is a means of uncovering therapeutic approaches for hepatocellular carcinoma (HCC). In addition, aberrant genome-wide hypomethylation has been implicated in HCC initiation and progression. However, the relationship between lncRNA dysregulation and genome-wide hypomethylation in hepatocarcinogenesis has not been fully elucidated. A novel lncRNA named LINC00662 was previously demonstrated to play a role in gastrointestinal cancer. In this study, we demonstrated that this lncRNA was correlated with survival and exhibited oncogenic properties, both in vitro and in vivo. Moreover, we determined that LINC00662 could lead to genome-wide hypomethylation and alter the genomic methylation profile by synchronously reducing the S-adenosylmethionine (SAM) level and enhancing the S-adenosylhomocysteine (SAH) level. Mechanistically, LINC00662 was determined to regulate the key enzymes influencing SAM and SAH levels, namely, methionine adenosyltransferase 1A (MAT1A) and S-adenosylhomocysteine hydrolase (AHCY), by RNA-RNA and RNA-protein interactions. In addition, we demonstrated that some SAM-dependent HCC-promoting genes could be regulated by LINC00662 by altering the methylation status of their promoters via the LINC00662-coupled axes of MAT1A/SAM and AHCY/SAH. Taken together, the results of this this study indicate that LINC00662 could be a potential biomarker for HCC therapy. More importantly, we proposed a new role of lncRNA in regulating genomic methylation to promote oncogene activation.	LINC00662 promotes hepatocellular carcinoma progression via altering genomic methylation profiles.	Cell death and differentiation	1
32127658	Autophagy is a cellular catabolic process that maintains intracellular homeostasis using lysosomal degradation systems. We demonstrate that inhibiting autophagy by depleting essential autophagy elongation proteins, Atg5 or Atg7, induces ISG15 expression through STING-mediated cytosolic dsDNA response. Genome stability is impaired in ATG5- or ATG7-depleted cells, and thus, double-strand breakages of DNA increase and cytosolic dsDNA accumulates. Accumulated cytosolic dsDNA induces the STING pathway to activate type I IFN signals which induce STAT1 activity and downregulate ATF3. When depletion of ATG5 or ATG7 inhibits autophagy, ATF3 is downregulated and STAT1 is upregulated. Furthermore, inhibiting autophagy induces ISG15 expression through STAT1 activation, which promotes acquisition of tumor-associated phenotypes such as migration, invasion, and proliferation. In conclusion, it appears that via the STING-mediated cytosolic dsDNA response, the STAT1-ISG15 axis mediates the relationship between autophagy and the immune system in relation to tumor progression. Moreover, combined with autophagy control, regulating ISG15 expression could be a novel strategy for cancer immunotherapy.	Deleting key autophagy elongation proteins induces acquirement of tumor-associated phenotypes via ISG15.	Cell death and differentiation	0
32447347	Senescence is accompanied with histones level alteration; however, the roles and the mechanisms of histone reduction in cellular senescence are largely unknown. Protein arginine methyltransferase 1 (PRMT1) is the major enzyme that generates monomethyl and asymmetrical dimethyl arginine. Here we showed that abrogation of PRMT1-mediated senescence was accompanied with decreasing histone H4 level. Consistently, under multiple classic senescence models, H4 decreasing was also been found prior to the other 3 core histones. Noticeably, asymmetric demethylation of histone H4 at arginine 3 (H4R3me2as), catalyzed by PRMT1, was decreased prior to histone H4. In addition, we showed that the PRMT1-mediated H4R3me2as maintained H4 stability. Reduction of H4R3me2as level increased the interaction between proteasome activator PA200 and histone H4, which catalyzes the poly-ubiquitin-independent degradation of H4. Moreover, H4 degradation promoted nucleosome decomposition, resulting in increased senescence-associated genes transcription. Significantly, H4 was restored by 3 well-informed anti-aging drugs (metformin, rapamycin, and resveratrol) much earlier than other senescence markers detected under H2O2-induced senescence. Thus, we uncovered a novel function of H4R3me2as in modulation of cellular senescence via regulating H4 stability. This finding also points to the value of histone H4 as a senescence indicator and a potential anti-aging drug screening marker.	Arginine hypomethylation-mediated proteasomal degradation of histone H4-an early biomarker of cellular senescence.	Cell death and differentiation	0
32376875	We have previously reported that Monoglyceride Lipase (MGL) expression is absent or reduced in various human malignancies and MGL-deficient mice develop tumors in multiple organs. Evidence also suggests MGL to be a tumor suppressor, however, the mechanisms underlying its tumor-suppressive actions remain to be investigated. Here, we report a novel function of MGL as a negative regulator of XIAP, an important inhibitor of apoptosis. We found that MGL directly interacted with XIAP and enhanced E3-ligase activity and proteasomal degradation of XIAP. MGL overexpression induced cell death that was coupled with caspase activation and reduced XIAP levels. N-terminus of MGL was found to mediate interactions with XIAP and induce cell death. MGL-deficient cells exhibited elevated XIAP levels and exhibited resistance to anticancer drugs. XIAP expression was significantly elevated in tissues of MGL-deficient animals as well as human lung cancers exhibiting reduced MGL expression. Thus, MGL appears to mediate its tumor-suppressive actions by inhibiting XIAP to induce cell death.	Monoglyceride lipase mediates tumor-suppressive effects by promoting degradation of X-linked inhibitor of apoptosis protein.	Cell death and differentiation	0
32332916	Although the roles of the Hippo pathway in organogenesis and tumorigenesis have been well studied in multiple organs, its role in sperm maturation and male fertility has not been investigated. The initial segment (IS) of the epididymis plays a critical role in sperm maturation. IS differentiation is governed by ERK1/2, but the mechanisms of ERK1/2 activation in IS are not fully understood. Here we show that double knockout (dKO) of mammalian sterile 20-like kinases 1 and 2 (Mst1 and Mst2), homologs of Hippo in Drosophila, in the epididymal epithelium led to male infertility in mice. Sperm in the cauda epididymides of mutant mice were immotile with flagellar angulation and severely disorganized structures. Loss of Mst1/2 activated YAP and increased proliferation and cell death in all the segments of epididymis. The mutant mice showed substantially suppressed MEK/ERK signaling in the IS and failed IS differentiation. Deletion of Yap restored the reduced MEK/ERK signaling, and partially rescued the defective IS differentiation and fertility in Mst1/2 dKO mice. Our results demonstrate that YAP inhibits the MEK/ERK pathway in IS epithelial cells, and MST1/2 control IS differentiation and fertility at least partially by repressing YAP. Taken together, the Hippo pathway is essential for sperm maturation and male fertility.	Hippo kinases MST1 and MST2 control the differentiation of the epididymal initial segment via the MEK-ERK pathway.	Cell death and differentiation	1
32494026	ATR is a master regulator of cell response to replication stress. Adequate activation of ATR is essential for preventing genome aberrance induced by replication defect. However, the mechanism underlying ATR activation is not fully understood. Here, we identify that RBMX is an ssDNA binding protein that orchestrates a novel pathway to activate ATR. Using super-resolution STORM, we observe that RBMX and RPA bind to adjacent but nonoverlapping sites on ssDNA in response to replication stress. RBMX then binds to and facilitates positioning of TopBP1, which activates nearby ATR associated with RPA. In addition, ATR activation by ssDNA-RBMX-TopBP1 is independent of ssDNA-dsDNA junction and 9-1-1 complex. ChIP-seq analysis reveals that RBMX/RPA are highly enriched on repetitive DNAs, which are considered as fragile sites with high replication stress. RBMX depletion leads to defective localization of TopBP1 to replication stressed sites and inadequate activation of ATR. Furthermore, cells with deficient RBMX demonstrate replication defect, leading to formation of micronuclei and a high rate of sister-chromatin exchange, indicative of genome instability. Together, the results identify a new ssDNA-RBMX-TopBP1 pathway that is specifically required for activation of ATR on repetitive DNAs. Therefore, RBMX is a key factor to ensure genome stability during replication.	RBMX is required for activation of ATR on repetitive DNAs to maintain genome stability.	Cell death and differentiation	0
32483381	Posttranslational modifications of nuclear proteins, including transcription factors, nuclear receptors, and their coregulators, have attracted much attention in cancer research. Although phosphorylation of oligodendrocyte transcription factor 2 (Olig2) may contribute to the notorious resistance of gliomas to radiation and genotoxic drugs, the precise mechanisms remain elusive. We show here that in addition to phosphorylation, Olig2 is also conjugated by small ubiquitin-like modifier-1 (SUMO1) at three lysine residues K27, K76, and K112. SUMOylation is required for Olig2 to suppress p53-mediated cell cycle arrest and apoptosis induced by genotoxic damage, and to enhance resistance to temozolomide (TMZ) in glioma. Both SUMOylation and triple serine motif (TSM) phosphorylation of Olig2 are required for the antiapoptotic function. Olig2 SUMOylation enhances its genetic targeting ability, which in turn occludes p53 recruitment to Cdkn1a promoter for DNA-damage responses. Our work uncovers a SUMOylation-dependent regulatory mechanism of Olig2 in regulating cancer survival.	Olig2 SUMOylation protects against genotoxic damage response by antagonizing p53 gene targeting.	Cell death and differentiation	0
32587379	Despite recent advances in our understanding of the function of long noncoding RNAs (lncRNAs), their roles and functions in DNA repair pathways remain poorly understood. By screening a panel of uncharacterized lncRNAs to identify those whose transcription is induced by double-strand breaks (DSBs), we identified a novel lncRNA referred to as LRIK that interacts with Ku, which enhances the ability of the Ku heterodimer to detect the presence of DSBs. Here, we show that depletion of LRIK generates significantly enhanced sensitivity to DSB-inducing agents and reduced DSB repair efficiency. In response to DSBs, LRIK enhances the recruitment of repair factors at DSB sites and facilitates gammaH2AX signaling. Our results demonstrate that LRIK is necessary for efficient repairing DSBs via nonhomologous end-joining pathway.	LRIK interacts with the Ku70-Ku80 heterodimer enhancing the efficiency of NHEJ repair.	Cell death and differentiation	0
32555450	Brpf-histone acetyltransferase (HAT) complexes have important roles in embryonic development and regulating differentiation in ESCs. Among Brpf family, Brpf3 is a scaffold protein of Myst2 histone acetyltransferase complex that plays crucial roles in gene regulation, DNA replication, development as well as maintaining pluripotency in embryonic stem cells (ESCs). However, its biological functions in ESCs are not elucidated. In this study, we find out that Brpf3 protein level is critical for Myst2 stability and E3 ligase Huwe1 functions as a novel negative regulator of Myst2 via ubiquitin-mediated degradation. Importantly, Brpf3 plays an antagonistic role in Huwe1-mediated degradation of Myst2, suggesting that protein-protein interaction between Brpf3 and Myst2 is required for retaining Myst2 stability. Further, Brpf3 overexpression causes the aberrant upregulation of Myst2 protein levels which in turn induces the dysregulated cell-cycle progression and also delay of early embryonic development processes such as embryoid-body formation and lineage commitment of mouse ESCs. The Brpf3 overexpression-induced phenotypes can be reverted by Huwe1 overexpression. Together, these results may provide novel insights into understanding the functions of Brpf3 in proper differentiation as well as cell-cycle progression of ESCs via regulation of Myst2 stability by obstructing Huwe1-mediated ubiquitination. In addition, we suggest that this is a useful report which sheds light on the function of an unknown gene in ESC field.	BRPF3-HUWE1-mediated regulation of MYST2 is required for differentiation and cell-cycle progression in embryonic stem cells.	Cell death and differentiation	0
